上櫃股票個股本益比、殖利率、股價淨值比(依日期查詢)
資料日期:105/07/11
產業類別:全部
股票代號,名稱,本益比,每股股利,殖利率(%),股價淨值比
"1258","其祥-KY","10.56","1.52","3.66","1.76"
"1259","安心","17.13","2.80","3.82","1.45"
"1264","德麥","13.84","11.00","6.03","2.68"
"1333","恩得利","N/A","0.00","0.00","0.61"
"1336","台翰","N/A","0.00","0.00","0.51"
"1565","精華","24.42","23.50","3.08","7.70"
"1566","捷邦","10.69","1.50","6.91","1.13"
"1569","濱川","N/A","0.00","0.00","0.56"
"1570","力肯","9.97","0.50","3.17","1.30"
"1580","新麥","11.80","7.00","6.42","2.87"
"1584","精剛","N/A","0.00","0.00","1.10"
"1586","和勤","N/A","0.00","0.00","1.47"
"1591","駿吉-KY","25.53","0.00","0.00","1.92"
"1593","祺驊","12.66","3.00","7.43","1.52"
"1595","川寶","11.92","3.20","6.61","0.99"
"1597","直得","17.57","1.00","3.08","1.37"
"1599","宏佳騰","6.95","4.50","7.99","1.80"
"1742","台蠟","N/A","0.00","0.00","1.20"
"1752","南光","21.43","1.20","2.47","2.37"
"1777","生泰","18.84","3.50","3.37","3.06"
"1781","合世","N/A","0.00","0.00","2.01"
"1784","訊聯","99.69","0.41","1.30","1.37"
"1787","福盈科","12.74","1.53","6.38","1.45"
"1788","杏昌","15.90","5.00","5.36","2.07"
"1795","美時","73.98","0.00","0.00","1.86"
"1799","易威","N/A","0.00","0.00","2.28"
"1813","寶利徠","12.30","2.00","7.78","1.15"
"1815","富喬","10.32","0.35","3.11","0.66"
"2035","唐榮","N/A","0.00","0.00","2.87"
"2061","風青","N/A","0.00","0.00","0.76"
"2063","世鎧","16.02","1.40","4.80","2.01"
"2064","晉椿","18.92","1.20","7.64","0.77"
"2066","世德","16.37","6.00","5.04","3.87"
"2067","嘉鋼","N/A","0.00","0.00","1.09"
"2221","大甲","9.44","1.00","5.95","1.13"
"2230","泰茂","46.25","0.60","4.05","1.10"
"2233","宇隆","16.46","3.00","3.60","1.84"
"2235","謚源","21.28","5.00","3.85","4.06"
"2596","綠意","N/A","1.00","7.14","0.84"
"2636","台驊","10.13","2.00","8.73","1.07"
"2640","大車隊","13.75","3.78","6.74","1.98"
"2641","正德","26.88","0.10","1.09","0.72"
"2643","捷迅","9.08","2.00","5.17","1.68"
"2718","晶悅","20.34","0.70","2.37","1.10"
"2719","燦星旅","N/A","0.00","0.00","1.13"
"2724","富驛-KY","N/A","0.00","0.00","0.77"
"2726","雅茗-KY","25.18","2.50","3.55","3.68"
"2729","瓦城","17.52","10.60","4.90","2.62"
"2732","六角","18.95","5.46","6.32","2.79"
"2734","易飛網","N/A","0.50","2.75","0.98"
"2736","高野","6.25","2.50","7.19","1.16"
"2740","天蔥","85.11","1.47","3.76","2.22"
"2916","滿心","11.54","1.30","7.88","0.98"
"2924","東凌-KY","84.68","0.50","0.95","2.17"
"2926","誠品生","19.14","8.08","4.38","4.89"
"2928","紅馬-KY","37.40","0.95","1.69","2.19"
"3064","泰偉","N/A","0.00","0.00","3.73"
"3066","李洲","N/A","0.00","0.00","1.12"
"3067","全域","N/A","0.00","0.00","1.55"
"3068","美磊","19.03","0.60","1.43","2.25"
